index,source_id,asassn_name,variable_type,parallax,mean_vmag,dist,period,parallax_error
4601,657464,ASASSN-V J163330.21-315255.2,RRAB,0.2124,16.25,3827.401,0.492865,0.0559
4602,518190,ASASSN-V J175028.09-460740.3,RRAB,0.1451,13.79,4830.585,0.6656,0.0262
4603,520664,ASASSN-V J150107.20-793632.7,RRAB,0.1332,16.12,5464.523,0.58356,0.0302
4604,454210,ASASSN-V J200656.99+765527.7,RRAB,0.0894,15.79,6450.816,0.6409,0.0263
4605,448572,ASASSN-V J215122.49+250246.9,RRAB,0.0816,15.95,5514.104,0.53914,0.0441
4606,468643,ASASSN-V J163752.83+801604.7,RRAB,0.0794,16.08,6584.295,0.54291,0.0321
4607,AP3990114,ASASSN-V J040937.59+622735.9,RRAB,2.3364,15.73,422.4902,0.572025,0.0277
4608,467893,ASASSN-V J070415.87+122505.1,RRAB,0.1186,15.2,4907.191,0.49142,0.0353
4609,452828,ASASSN-V J170418.31+155703.3,RRAB,0.1005,15.16,7693.741,0.51779,0.0281
4610,466903,ASASSN-V J183840.50-341114.9,RRAB,0.7085,14.34,1289.401,0.69826,0.4115
4611,560510,ASASSN-V J085459.57+754347.1,RRAB,0.141,14.92,4371.023,0.66564,0.0221
4612,484913,ASASSN-V J164738.89-271510.2,RRAB,0.1131,15.19,5692.839,0.44113,0.0395
4613,448834,ASASSN-V J185833.56+333417.2,RRAB,0.0286,13.96,9326.318,0.6436,0.0262
4614,461094,ASASSN-V J184835.34+204518.6,RRAB,0.2246,14.8,3590.048,0.45649,0.0228
4615,470069,ASASSN-V J191053.41-581321.9,RRAB,0.0895,15.44,5873.75,0.59013,0.0381
4616,505600,ASASSN-V J182022.61-330607.8,RRAB,0.111,14.52,5391.419,0.46821,0.0439
4617,AP35506419,ASASSN-V J173010.63+142208.3,RRAB,1.266,14.66,770.1761,0.378521,0.0196
4618,505563,ASASSN-V J182355.87-323731.6,RRAB,0.1678,14.93,5190.893,0.62553,0.0294
4619,459766,ASASSN-V J183426.24+144234.5,RRAB,0.1319,16.17,4665.871,0.55531,0.0436
4620,654032,ASASSN-V J181955.10-380904.4,RRAB,0.1504,15.5,4775.712,0.433705,0.0431
4621,479638,ASASSN-V J152838.33-501007.0,RRAB,0.1554,16.25,4361.357,0.53942,0.0462
