index,source_id,asassn_name,variable_type,parallax,mean_vmag,dist,period,parallax_error
4943,507407,ASASSN-V J085923.71-523112.1,RRAB,0.263,15.11,3383.586,0.48917,0.0222
4944,AP51962247,ASASSN-V J174221.56-391107.2,RRC,0.2714,15.73,3688.302,0.381851,0.0546
4945,51517451,ASASSN-V J163029.22-451230.6,RRC,0.4944,13.97,1863.109,0.213577,0.0176
4946,504435,ASASSN-V J185413.51-330733.4,RRAB,0.1139,15.2,5768.298,0.4606,0.0316
4947,518438,ASASSN-V J184903.10-185152.6,RRC,0.2346,14.8,3574.493,0.26942,0.0241
4948,474887,ASASSN-V J190305.49-153635.7,RRAB,0.1708,14.69,5623.752,0.809141,0.0389
4949,AP40069376,ASASSN-V J081451.32-573423.9,RRC,1.1165,14.19,882.5303,0.215312,0.0648
4950,473097,ASASSN-V J143438.69-505242.1,RRAB,0.184,15.1,4254.169,0.49993,0.0383
4951,504832,ASASSN-V J191758.58-245654.0,RRAB,0.1364,14.91,5878.278,0.59699,0.0354
4952,654210,ASASSN-V J221951.48+383755.8,RRC,0.1516,15.25,4945.956,0.265073,0.0271
4953,655619,ASASSN-V J175256.43-485004.8,RRC,0.1729,14.34,4559.429,0.37744,0.0241
4954,469775,ASASSN-V J191450.77-264035.1,RRAB,0.1783,16.02,3409.447,0.4775,0.0642
4955,AP53265234,ASASSN-V J171051.48-290813.2,RRC,0.2452,14.01,3696.585,0.380511,0.0679
4956,514497,ASASSN-V J183114.47-373010.4,RRAB,0.0736,15.36,6570.228,0.5887,0.0398
4957,476455,ASASSN-V J180821.53-364252.0,RRAB,0.1576,15.74,3726.064,0.457571,0.089
4958,451298,ASASSN-V J191513.98+680729.9,RRAB,0.154,14.35,5893.389,0.5908,0.0172
4959,AP15614944,ASASSN-V J231238.95+654515.8,RRC,0.6591,14.04,1462.074,0.275032,0.0162
4960,490214,ASASSN-V J172156.45-561209.8,RRAB,0.2475,13.84,3347.028,0.55716,0.0214
4961,464730,ASASSN-V J115547.04-334943.0,RRAB,0.0776,16.97,5628.679,0.56832,0.0663
4962,472372,ASASSN-V J221931.67-242449.7,RRC,0.187,13.83,3906.854,0.34393,0.0272
4963,AP59912626,ASASSN-V J194337.56-282150.3,RRAB,0.2535,15.52,2987.718,0.59808,0.0418
4964,517000,ASASSN-V J183444.32-283745.4,RRAB,0.144,15.87,4773.407,0.50015,0.0453
4965,461859,ASASSN-V J200937.97-073533.5,RRAB,0.1106,15.79,4363.103,0.51231,0.0519
4966,463624,ASASSN-V J191723.04+250542.2,RRAB,0.106,15.43,7678.425,0.59862,0.0285
4967,450969,ASASSN-V J191811.84+490745.6,RRAB,0.1074,14.84,7213.698,0.5643,0.0184
4968,494068,ASASSN-V J171401.68-193717.1,RRAB,0.1721,15.32,3780.825,0.56876,0.0509
4969,474071,ASASSN-V J211945.14+345116.0,RRAB,0.1533,15.3,4754.313,0.50437,0.0252
4970,60954866,ASASSN-V J204642.28-144847.1,RRAB,0.6515,15.25,1438.393,0.688174,0.0382
4971,491754,ASASSN-V J174133.98-175909.6,RRAB,0.1054,15.32,4883.631,0.487216,0.0611
4972,488638,ASASSN-V J193351.97-154336.4,RRAB,0.1404,14.71,5674.585,0.64694,0.0263
4973,58705811,ASASSN-V J191228.89-510801.4,RRAB,0.4066,14.8,2109.484,0.561289,0.0516
4974,59695287,ASASSN-V J184237.95-351559.4,RRAB,0.0646,14.23,3753.652,0.479192,0.0276
4975,476289,ASASSN-V J140207.07-415547.1,RRAB,0.043,15.19,8542.331,0.57839,0.0413
4976,503258,ASASSN-V J190612.52-233615.2,RRAB,0.0585,15.58,5993.198,0.47148,0.0467
4977,486383,ASASSN-V J034459.26+872018.1,RRAB,0.1173,16.14,4955.899,0.52383,0.0341
4978,456481,ASASSN-V J102801.96+731613.8,RRAB,0.0781,16.03,6641.501,0.54459,0.0336
4979,461298,ASASSN-V J172349.43-012930.8,RRAB,0.1713,15.94,4001.263,0.44466,0.0449
4980,490935,ASASSN-V J191935.74-121520.2,RRAB,0.1835,14.69,4111.086,0.78819,0.0373
4981,487238,ASASSN-V J150314.21-684909.9,RRC,0.3532,13.17,2517.65,0.28093,0.013
4982,462449,ASASSN-V J174646.34-035442.4,RRAB,0.6272,14.11,1502.68,0.51858,0.0171
4983,448006,ASASSN-V J174822.10+183529.6,RRAB,0.3502,13.14,2717.678,0.61811,0.0131
4984,502879,ASASSN-V J194956.35+730337.2,RRAB,0.0899,16.96,5073.069,0.49363,0.0438
4985,448425,ASASSN-V J203345.80+013339.3,RRAB,0.1424,15.02,5097.442,0.63691,0.0279
4986,454896,ASASSN-V J191548.09-381903.5,RRAB,0.1259,15.48,8364.692,0.60189,0.032
4987,489929,ASASSN-V J181950.75-450959.4,RRAB,0.1142,14.76,5305.033,0.45242,0.0436
4988,473094,ASASSN-V J143534.21-520100.1,RRAB,0.1794,15.45,4091.671,0.498727,0.033
4989,517503,ASASSN-V J153250.56-454149.8,RRAB,0.1827,15.07,4452.831,0.56451,0.0293
4990,449598,ASASSN-V J201038.35+115858.1,RRAB,0.1914,13.71,4425.748,0.59014,0.0184
4991,472633,ASASSN-V J174517.66-103919.0,RRAB,0.243,15.43,3356.317,0.54821,0.0396
4992,486287,ASASSN-V J152836.68-422757.5,RRAB,0.1727,15.04,4379.662,0.70325,0.0345
4993,503137,ASASSN-V J195452.19-710732.7,RRC,0.2307,13.71,3584.511,0.31441,0.0131
4994,AP51181018,ASASSN-V J165447.83-540152.3,RRAB,0.2744,14.51,7718.267,0.555357,0.2494
4995,561319,ASASSN-V J180211.81-643352.5,RRAB,0.056,15.55,6159.496,0.48289,0.0385
4996,458756,ASASSN-V J191614.21-240355.4,RRC,0.046,15.26,7267.963,0.36127,0.0341
4997,58386233,ASASSN-V J180306.48-635807.4,RRAB,0.6267,14.76,1505.022,0.570031,0.0272
4998,504882,ASASSN-V J184418.12-660158.2,RRC,0.2823,13.31,3068.675,0.35312,0.0135
4999,AP58906939,ASASSN-V J204646.29-381814.4,RRAB,0.5183,15.85,2086.648,0.616655,0.0806
5000,451844,ASASSN-V J065535.39-672452.9,RRC,0.1831,14.39,4091.307,0.34728,0.0165
5001,34914274,ASASSN-V J181705.12+141817.7,RRC,0.233,14.04,3576.062,0.346544,0.0176
5002,523082,ASASSN-V J173202.49-482310.0,RRAB,0.1881,15.21,3992.343,0.51811,0.0429
5003,452881,ASASSN-V J202157.46+061046.4,RRAB,0.0943,15.54,5829.845,0.52379,0.0363
5004,484992,ASASSN-V J174151.69-144828.8,RRAB,0.1603,15.92,4282.809,0.52575,0.055
5005,458749,ASASSN-V J191411.29-240751.9,RRAB,0.3978,14.95,4128.75,0.54962,0.143
5006,560571,ASASSN-V J191446.77-212558.7,RRD,0.1005,15.13,5505.899,0.571784,0.0415
5007,449721,ASASSN-V J101352.65-360945.3,RRAB,0.0763,16.15,5557.027,0.45761,0.0468
5008,516151,ASASSN-V J164808.23-552810.1,RRAB,0.129,14.67,4551.63,0.52978,0.0636
5009,469531,ASASSN-V J190354.79-265502.9,RRAB,0.1317,15.98,4853.793,0.51407,0.0501
5010,564068,ASASSN-V J100356.23-472252.4,RRAB,0.115,15.45,5302.556,0.69228,0.0283
5011,452218,ASASSN-V J181554.05-605745.5,RRAB,0.1292,14.38,5352.61,0.63747,0.0285
5012,AP54170452,ASASSN-V J120926.10-583220.8,RRC,0.4107,13.12,2238.89,0.18164,0.0124
5013,493006,ASASSN-V J172535.37-213314.2,RRAB,0.1978,15.17,4195.42,0.528597,0.0408
5014,493590,ASASSN-V J184405.17-220350.3,RRAB,0.2996,14.95,4658.746,0.4719,0.2356
5015,453090,ASASSN-V J132703.35-472139.2,RRAB,0.1164,13.71,5185.915,0.62033,0.0773
5016,654033,ASASSN-V J211027.95+192331.7,RRAB,0.0516,16.34,5669.28,0.680818,0.0487
5017,475107,ASASSN-V J190042.93-141520.1,RRAB,0.0473,14.72,7508.152,0.65689,0.0342
5018,AP37244723,ASASSN-V J013612.69-570116.9,RRC,0.0733,15.64,6909.967,0.28959,0.0259
5019,480369,ASASSN-V J171929.09-071254.5,RRAB,0.2538,16.54,3237.977,0.50628,0.0497
5020,560564,ASASSN-V J192838.47-205711.9,RRAB,0.1532,14.85,5061.114,0.50029,0.0315
5021,485274,ASASSN-V J163744.73-314256.4,RRC,0.2642,14.09,3190.052,0.27009,0.0251
5022,454903,ASASSN-V J195101.68-560324.8,RRAB,0.1155,15.57,4796.608,0.58568,0.0449
5023,485193,ASASSN-V J153513.92-462126.5,RRAB,0.4303,13.21,2095.445,0.57777,0.0189
5024,AP50334336,ASASSN-V J142839.69-515331.1,RRC,0.8202,13.32,1151.833,0.210524,0.0645
5025,488435,ASASSN-V J192919.97-163946.8,RRAB,0.067,15.36,5838.436,0.67859,0.042
5026,484735,ASASSN-V J171905.04-135415.5,RRAB,0.1905,15.15,3955.605,0.5354,0.0299
5027,458776,ASASSN-V J190841.29-223433.6,RRAB,0.0984,14.32,6005.193,0.54574,0.0361
5028,514623,ASASSN-V J181007.77+191310.6,RRC,0.1459,14.65,5227.679,0.26562,0.0208
5029,561787,ASASSN-V J180522.13-392215.5,RRAB,0.1234,15.36,5330.48,0.52855,0.0325
5030,449530,ASASSN-V J190807.11+625652.5,RRAB,0.082,16.19,6498.695,0.451,0.0363
5031,AP41223527,ASASSN-V J102214.19-515150.0,RRC,0.4385,13.54,2119.993,0.447986,0.0251
5032,40778292,ASASSN-V J113621.42-535658.8,RRC,0.2172,15.25,3774.347,0.4215,0.0256
5033,493957,ASASSN-V J184024.08-174007.8,RRAB,0.1446,15.53,4389.142,0.48096,0.0408
5034,56078813,ASASSN-V J152045.50-333954.3,RRAB,0.7512,15.96,1364.191,0.62295,0.0769
5035,J215520.58-772146.1,ASASSN-V J215520.58-772146.2,RRC,0.0773,15.67,5541.594,0.332995,0.0255
5036,522542,ASASSN-V J145739.52-485313.0,RRAB,0.1737,14.96,4169.507,0.59035,0.0272
5037,AP51218957,ASASSN-V J164146.40-530021.6,RRAB,0.9073,16.49,6926.334,0.41601,0.7232
5038,15695561,ASASSN-V J220429.21+653653.5,RRC,0.5016,15.54,1828.871,0.301508,0.0578
5039,470502,ASASSN-V J195634.63-114135.1,RRAB,0.1317,15.7,4738.722,0.44683,0.0391
5040,449415,ASASSN-V J164939.71-700926.0,RRAB,0.1245,15.02,5846.692,0.5181,0.028
5041,AP49652379,ASASSN-V J152817.31-613116.5,RRC,1.7215,14.44,12267.63,0.41609,0.8707
5042,AP60094509,ASASSN-V J193138.43-285800.5,RRC,0.2188,13.99,3627.527,0.266558,0.0183
5043,451709,ASASSN-V J075224.50-784454.4,RRAB,0.137,14.83,5568.619,0.66232,0.0201
5044,AP18778336,ASASSN-V J070254.42-204202.0,RRC,0.2014,15.54,4207.137,0.244637,0.0367
5045,30625211,ASASSN-V J194304.45-101416.9,RRAB,0.4704,15.94,2159.835,0.525306,0.0937
5046,510746,ASASSN-V J161231.31-331653.2,RRAB,0.1472,15.03,4868.859,0.6475,0.0291
5047,511506,ASASSN-V J184136.25-212105.8,RRAB,0.1387,15.91,7306.553,0.49716,0.0374
5048,AP36837014,ASASSN-V J052916.84-502112.8,RRC,0.456,14.26,2051.773,0.216843,0.0157
5049,479731,ASASSN-V J154320.59-801545.5,RRAB,0.123,14.65,5803.108,0.52614,0.0161
5050,515382,ASASSN-V J204834.99+305904.1,RRAB,0.1399,15.45,5270.67,0.53811,0.0291
5051,AP4657903,ASASSN-V J011150.50+743731.6,RRC,0.4148,14.75,2237.824,0.267859,0.0246
5052,458887,ASASSN-V J192336.10-221913.2,RRAB,0.081,15.96,4673.545,0.47752,0.0759
5053,457389,ASASSN-V J185631.00-864552.8,RRAB,0.1296,16.2,4917.01,0.51542,0.039
5054,59751635,ASASSN-V J183815.28-334748.3,RRAB,0.4307,14.05,2104.69,0.466316,0.024
5055,450367,ASASSN-V J185712.76-380530.5,RRAB,0.1202,15.09,5964.294,0.70374,0.0248
5056,J192010.64+645815.2,ASASSN-V J192010.64+645815.2,RRC,0.45,14.01,2129.248,0.248035,0.0208
5057,450362,ASASSN-V J183012.52-443004.7,RRAB,0.0508,15,7461.657,0.58657,0.0353
5058,492482,ASASSN-V J063940.03-020421.7,RRAB,0.211,15.61,3644.321,0.729296,0.0398
5059,451835,ASASSN-V J040351.47-610407.0,RRAB,0.1736,14.49,4339.289,0.51186,0.0152
5060,26334683,ASASSN-V J113906.78-170755.7,RRAB,1.0345,15.18,886.6473,0.588188,0.1039
5061,483315,ASASSN-V J150632.23-415314.0,RRAB,0.2656,14.36,3145.215,0.40984,0.0415
5062,469519,ASASSN-V J191026.82-244307.7,RRAB,0.0778,15.68,5418.311,0.65557,0.0598
5063,457826,ASASSN-V J013814.34+780039.7,RRAB,0.2089,14.92,4020.762,0.48141,0.0225
5064,AP57280339,ASASSN-V J223026.08-732344.7,RRC,0.6906,12.78,1029.673,0.321637,0.4524
5065,479192,ASASSN-V J191020.59-015637.7,RRAB,0.2062,15.04,4284.198,0.72726,0.0312
5066,AP29627697,ASASSN-V J170324.36-183310.8,RRAB,1.9563,14.31,501.4267,0.437822,0.0242
5067,559998,ASASSN-V J204558.45+123814.0,RRAB,0.1109,15.63,5525.883,0.60331,0.0357
5068,467137,ASASSN-V J190919.64-322645.5,RRAB,0.1236,16.25,4943.255,0.53353,0.0383
5069,AP59630081,ASASSN-V J184116.74-370639.7,RRAB,0.256,15.82,2933.094,0.443218,0.0507
5070,448919,ASASSN-V J183225.32+530504.3,RRC,0.0708,15.62,7101.958,0.31435,0.0236
5071,470620,ASASSN-V J112113.93-510459.5,RRAB,0.1859,14.16,4641.522,0.68057,0.0187
5072,AP31605511,ASASSN-V J200530.05+073201.0,RRC,0.3541,14.04,2523.057,0.315601,0.0206
5073,58804501,ASASSN-V J195846.93-512447.6,RRAB,1.1996,13.55,805.6558,0.446642,0.0151
5074,489475,ASASSN-V J161741.43-655709.9,RRAB,0.1837,14.37,4266.168,0.59615,0.0187
5075,491067,ASASSN-V J165055.06-170628.0,RRAB,0.1689,15.59,4462.963,0.56577,0.0435
5076,AP49626088,ASASSN-V J150236.36-605208.4,RRC,0.6839,15.09,9622.428,0.211113,0.3368
5077,489364,ASASSN-V J162830.59-330225.7,RRAB,0.377,14.26,2296.829,0.45713,0.0233
5078,560848,ASASSN-V J084554.49-663908.2,RRAB,0.0453,16.26,6900.652,0.5327,0.037
5079,522610,ASASSN-V J081204.30-263546.2,RRAB,0.1969,14.79,3934.035,0.54594,0.0302
5080,502829,ASASSN-V J202202.40+052144.7,RRAB,0.2204,14.26,3795.362,0.57284,0.0242
5081,448893,ASASSN-V J183656.81+340557.3,RRC,0.1388,14.24,5645.488,0.33109,0.0151
5082,478892,ASASSN-V J101953.63-462759.8,RRAB,0.1707,14.55,4624.084,0.60978,0.0169
5083,AP49389952,ASASSN-V J135911.13-613959.0,RRC,0.626,14.65,1513.054,0.252348,0.0423
5084,AP47477038,ASASSN-V J134541.57-750604.3,RRC,0.8346,13.65,1161.965,0.210883,0.0296
5085,561287,ASASSN-V J180813.18-495922.0,RRAB,0.0566,15.34,7018.079,0.51895,0.0351
5086,509696,ASASSN-V J151502.14-440641.1,RRAB,0.1104,14.88,5679.598,0.69431,0.0378
5087,59223294,ASASSN-V J183124.25-443842.6,RRAB,1.121,14.43,860.6392,0.450976,0.0384
5088,33158878,ASASSN-V J160325.36-131936.9,RRAB,0.9898,13.58,970.15,0.474949,0.0171
5089,AP13046764,ASASSN-V J230927.25+494814.9,RRC,0.1514,14.01,5012.652,0.369109,0.016
5090,9434085,ASASSN-V J204426.74+065829.5,RRAB,0.6287,14.63,1519.432,0.546555,0.0238
5091,517237,ASASSN-V J145805.71-490939.1,RRAB,0.1375,15.65,4441.508,0.67744,0.0467
5092,AP36656011,ASASSN-V J055158.54-594813.2,RRC,0.3395,15.4,2691.527,0.202454,0.0306
5093,654596,ASASSN-V J203332.93-633342.1,RRAB,0.0363,15.52,9721.227,0.604503,0.0283
5094,453379,ASASSN-V J175552.70+133542.0,RRAB,0.166,14.64,4514.266,0.53523,0.0195
5095,510749,ASASSN-V J155726.08-391356.9,RRAB,0.1744,15.49,4361.657,0.66876,0.0318
5096,507231,ASASSN-V J194512.75-014835.0,RRAB,0.0907,14.78,6026.438,0.4925,0.0382
5097,487742,ASASSN-V J084125.12-602148.4,RRAB,0.1883,14.54,4638.415,0.60866,0.0153
5098,455118,ASASSN-V J144028.10-795131.5,RRAB,0.0622,15.6,9251.026,0.58993,0.0282
5099,28673374,ASASSN-V J183833.20-205454.7,RRAB,0.2474,15.12,5195.961,0.50799,0.0719
5100,AP41661820,ASASSN-V J112843.45-395436.3,RRAB,0.6446,15.23,1454.26,0.332475,0.0305
5101,60030405,ASASSN-V J184815.52-303421.7,RRAB,0.7132,13.78,1315.502,0.593625,0.0169
5102,AP57362561,ASASSN-V J215256.67-640932.5,RRC,0.0965,14.97,5898.491,0.354125,0.0211
5103,455280,ASASSN-V J193652.16-622128.4,RRC,0.233,13.98,3617.092,0.34255,0.0148
5104,478701,ASASSN-V J001023.36+522150.1,RRAB,0.2682,14.23,3315.189,0.45391,0.0199
5105,473133,ASASSN-V J231730.04+452115.5,RRAB,0.0895,15.34,5585.194,0.50198,0.0388
5106,461879,ASASSN-V J200403.78-061304.1,RRAB,0.0865,15.9,5073.599,0.62813,0.0443
5107,461693,ASASSN-V J182148.16+075054.1,RRAB,0.1489,14.73,5534.415,0.6282,0.0252
5108,459747,ASASSN-V J183524.22+140040.5,RRAB,0.056,15.2,7886.88,0.54101,0.033
5109,454378,ASASSN-V J201544.25+024327.2,RRAB,0.1105,15.96,5568.697,0.56623,0.0375
5110,AP39655241,ASASSN-V J090002.85-641437.8,RRC,0.6113,14.71,2483.745,0.272415,0.1635
5111,658012,ASASSN-V J170447.34-180049.2,RRAB,0.1587,15.53,4556.006,0.513797,0.0404
5112,460180,ASASSN-V J075516.94-045901.8,RRAB,0.0384,15,9173.715,0.6213,0.0278
5113,464785,ASASSN-V J063951.57+210829.7,RRAB,0.1253,15.61,4663.785,0.54023,0.044
5114,455830,ASASSN-V J160542.77-314159.2,RRAB,0.0698,15.09,5427.646,0.55433,0.0486
5115,466470,ASASSN-V J084241.17-812340.5,RRAB,0.211,14.12,4220.258,0.58875,0.0126
5116,502731,ASASSN-V J180832.56+173111.8,RRAB,0.048,16.05,7229.751,0.49256,0.0409
5117,AP53681144,ASASSN-V J162556.01-212359.2,RRAB,0.147,15.62,5620.552,0.617395,0.0366
5118,448802,ASASSN-V J191958.05+400241.2,RRAB,0.1162,14.27,3268.943,0.51637,0.1111
5119,518094,ASASSN-V J180132.10-440401.2,RRAB,0.1609,14.25,4858.945,0.839249,0.0204
5120,474953,ASASSN-V J190709.95-145223.8,RRAB,0.1808,15.63,4110.789,0.50526,0.0387
5121,458779,ASASSN-V J190842.21-235405.4,RRAB,0.1912,15.58,4092.924,0.50432,0.0535
5122,457831,ASASSN-V J040258.91+770921.8,RRAB,0.1742,14.95,4814.186,0.57838,0.019
5123,654478,ASASSN-V J203558.89+044857.1,RRAB,0.0976,15.5,5563.703,0.473442,0.0353
5124,457809,ASASSN-V J232318.59+444327.6,RRC,0.1792,14.33,4760.307,0.27922,0.0172
5125,460362,ASASSN-V J231156.88-833324.6,RRAB,0.0666,15.87,8258.325,0.5646,0.0281
5126,449858,ASASSN-V J044915.92-544551.3,RRAB,0.0644,15.06,8990.621,0.55925,0.0224
5127,478859,ASASSN-V J101613.05-463701.2,RRAB,0.2136,14.53,3905.312,0.53347,0.0201
5128,AP28246581,ASASSN-V J184751.43-264103.6,RRC,0.5424,13.8,1701.003,0.349035,0.0206
5129,489069,ASASSN-V J192626.92-091020.0,RRAB,0.0702,16.09,5281.991,0.48378,0.0591
5130,454763,ASASSN-V J215434.07+723441.7,RRAB,0.2321,15.72,3947.836,0.45386,0.0245
5131,AP59627015,ASASSN-V J184629.36-370753.4,RRC,0.1245,15.12,5149.73,0.385991,0.0305
5132,28970065,ASASSN-V J185306.51-124507.4,RRAB,0.2228,13.87,3515.856,0.567556,0.0806
5133,458016,ASASSN-V J032725.39-482254.0,RRAB,0.0891,16.01,6349.992,0.56527,0.0277
5134,448467,ASASSN-V J081116.44-620101.7,RRAB,0.0476,15.69,7955.403,0.5786,0.0299
5135,60146526,ASASSN-V J194133.78-225033.8,RRAB,0.7132,14.4,1326.098,0.658172,0.0271
5136,470657,ASASSN-V J112359.46-502625.5,RRAB,0.1448,13.97,5629.053,0.73084,0.0186
5137,453149,ASASSN-V J174724.51+082605.7,RRAB,0.1103,16.03,5517.195,0.45873,0.0391
5138,463632,ASASSN-V J170927.25-031624.7,RRAB,0.1657,16.41,4280.106,0.44022,0.0583
5139,515416,ASASSN-V J072023.35+032900.7,RRAB,0.2839,14.92,2781.961,0.52447,0.0455
5140,474828,ASASSN-V J190242.85-134121.9,RRAB,0.0818,15.16,6848.704,0.65603,0.0301
