index,source_id,asassn_name,variable_type,parallax,mean_vmag,dist,period,parallax_error
455,AP53378130,ASASSN-V J165905.06-281442.0,RRC,0.2092,14.79,4677.129,0.209197,0.0745
456,450326,ASASSN-V J184829.13-355637.2,RRC,0.1734,14.42,4270.714,0.38421,0.0247
457,49195693,ASASSN-V J121052.97-672441.8,RRC,0.0853,12.78,4754.747,0.208071,0.0762
458,AP40843408,ASASSN-V J111400.98-530900.5,RRC,0.2408,14.61,4049.679,0.390773,0.0648
459,13768247,ASASSN-V J192412.31+294346.9,RRC,0.3938,14.15,2354.23,0.185064,0.0144
460,AP39122981,ASASSN-V J102245.67-592555.7,RRC,0.3313,15.4,2677.509,0.344019,0.0234
461,AP53825620,ASASSN-V J130018.12-591357.3,RRC,1.1814,13.91,4884.098,0.184118,0.6116
462,51154764,ASASSN-V J165035.95-561539.3,RRC,0.4225,14.43,6551.148,0.345537,0.28
463,655749,ASASSN-V J073557.77-361346.7,RRC,0.3165,14.06,2808.93,0.30746,0.0126
464,AP42920258,ASASSN-V J074604.23-551549.9,RRC,3.4242,14.27,289.3817,0.411238,0.0132
465,451823,ASASSN-V J042211.48-630833.0,RRC,0.0649,15.42,6954.057,0.33265,0.0206
466,AP51980760,ASASSN-V J172959.38-381626.7,RRC,0.3857,13.99,2262.881,0.184689,0.0243
467,461594,ASASSN-V J180250.80-475031.7,RRC,0.2038,14.34,3917.553,0.37817,0.0224
468,AP38613536,ASASSN-V J103730.52-660534.8,RRC,0.2683,15.25,3691.462,0.458231,0.0683
469,43442380,ASASSN-V J085758.80-420200.3,RRC,1.2637,12.12,774.4377,0.227497,0.0114
470,AP41995313,ASASSN-V J094451.39-483223.9,RRC,0.223,14.26,3990.932,0.247998,0.0159
471,448375,ASASSN-V J184412.90+241626.8,RRC,0.1354,13.99,5492.413,0.33728,0.0141
472,450276,ASASSN-V J182747.21-450203.7,RRC,0.1949,14.41,4007.169,0.32386,0.0221
473,35017251,ASASSN-V J185244.62+111907.1,RRC,0.6549,14.47,1456.598,0.212547,0.0253
474,451855,ASASSN-V J031834.85-632013.4,RRC,0.1089,14.93,5923.75,0.3089,0.0177
475,654570,ASASSN-V J072021.85+172508.2,RRC,0.1156,14.92,4848.144,0.380517,0.0319
476,AP39293282,ASASSN-V J100123.33-545119.6,RRC,0.3207,14.82,2778.483,0.442274,0.0165
477,37228340,ASASSN-V J005928.85-583000.9,RRC,0.1025,14.9,5762.264,0.327093,0.0199
